Commission;Category;Item;Expected margin;Effective margin;Status
U-0000000675-99999;Vehicle sale (outgoing invoice);Base vehicle;;20000.00;Closed
U-0000000675-99999;Vehicle sale (outgoing invoice);Preparation fee;;500.00;Closed
U-0000000675-99999;Vehicle sale (outgoing invoice);Discounts;;-3000.00;Closed
U-0000000675-99999;Vehicle purchase (incoming invoice);Purchase price;;-16000.00;Closed
U-0000000675-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
U-0000000675-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Open
U-0000000675-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-700.00;Open
U-0000000675-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
U-0000000675-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
U-0000000675-99999;Bonuses & Promotions;Toyota Used vehicle sale bonus (manual);1000.00;;Open
U-0000000675-99999;Other;Vehicle renting  (manual);;300.00;Open
N-0000000566-99999;Vehicle sale (outgoing invoice);Base vehicle;;30000.00;Closed
N-0000000566-99999;Vehicle sale (outgoing invoice);Options;;10000.00;Closed
N-0000000566-99999;Vehicle sale (outgoing invoice);Accesories;;5000.00;Closed
N-0000000566-99999;Vehicle sale (outgoing invoice);Preparation fee;;500.00;Closed
N-0000000566-99999;Vehicle sale (outgoing invoice);Discounts;;-3000.00;Closed
N-0000000566-99999;Bonuses & Promotions;Toyota summer promo;3000.00;;Open
N-0000000566-99999;Vehicle purchase (incoming invoice);Purchase price;;-40000.00;Closed
N-0000000566-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
N-0000000566-99999;Internal costs & Services;Accessories montage (internal invoice);;-500.00;Closed
N-0000000566-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Closed
N-0000000566-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-700.00;Open
N-0000000566-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
N-0000000566-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
N-0000000566-99999;Bonuses & Promotions;Toyota Bonus (manual);2000.00;;Open
N-0000000566-99999;Bonuses & Promotions;Toyota summer promo (importer credit note);;3000.00;Closed
N-0000000566-99999;Other;Vehicle renting  (manual);;300.00;Open
U-0000000756-99999;Vehicle sale (outgoing invoice);Base vehicle;;20000.00;Closed
U-0000000756-99999;Vehicle sale (outgoing invoice);Preparation fee;;500.00;Closed
U-0000000756-99999;Vehicle sale (ougoing invoice);Discounts;;-3000.00;Closed
U-0000000756-99999;Vehicle purchase (incoming invoice);Purchase price;;-16000.00;Closed
U-0000000756-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
U-0000000756-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Closed
U-0000000756-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-500.00;Open
U-0000000756-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
U-0000000756-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
U-0000000756-99999;Bonuses & Promotions;Toyota Used vehicle sale bonus (manual);1000.00;;Open
U-0000000756-99999;Other;Vehicle renting  (manual);;300.00;Open
N-0000000867-99999;Vehicle sale (ougoing invoice);Base vehicle;;30000.00;Closed
N-0000000867-99999;Vehicle sale (ougoing invoice);Options;;10000.00;Closed
N-0000000867-99999;Vehicle sale (ougoing invoice);Accesories;;5000.00;Closed
N-0000000867-99999;Vehicle sale (ougoing invoice);Preparation fee;;500.00;Closed
N-0000000867-99999;Vehicle sale (ougoing invoice);Discounts;;-3000.00;Closed
N-0000000867-99999;Bonuses & Promotions;Toyota summer promo;3000.00;;Open
N-0000000867-99999;Vehicle purchase (incoming invoice);Purchase price;;-40000.00;Closed
N-0000000867-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
N-0000000867-99999;Internal costs & Services;Accessories montage (internal invoice);;-500.00;Closed
N-0000000867-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Closed
N-0000000867-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-1000.00;Open
N-0000000867-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
N-0000000867-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
N-0000000867-99999;Bonuses & Promotions;Toyota Bonus (manual);2000.00;;Open
N-0000000867-99999;Bonuses & Promotions;Toyota summer promo (importer credit note);;3000.00;Closed
N-0000000867-99999;Other;Vehicle renting  (manual);;300.00;Open
U-0000000321-99999;Vehicle sale (ougoing invoice);Base vehicle;;20000.00;Closed
U-0000000321-99999;Vehicle sale (ougoing invoice);Preparation fee;;500.00;Closed
U-0000000321-99999;Vehicle sale (ougoing invoice);Discounts;;-3000.00;Closed
U-0000000321-99999;Vehicle purchase (incoming invoice);Purchase price;;-16500.00;Closed
U-0000000321-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
U-0000000321-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Closed
U-0000000321-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-300.00;Open
U-0000000321-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
U-0000000321-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
U-0000000321-99999;Bonuses & Promotions;Toyota Used vehicle sale bonus (manual);1000.00;;Open
U-0000000321-99999;Other;Vehicle renting  (manual);;300.00;Open
N-0000000457-99999;Vehicle sale (ougoing invoice);Base vehicle;;30000.00;Closed
N-0000000457-99999;Vehicle sale (ougoing invoice);Options;;10000.00;Closed
N-0000000457-99999;Vehicle sale (ougoing invoice);Accesories;;5000.00;Closed
N-0000000457-99999;Vehicle sale (ougoing invoice);Preparation fee;;500.00;Closed
N-0000000457-99999;Vehicle sale (ougoing invoice);Discounts;;-3000.00;Closed
N-0000000457-99999;Bonuses & Promotions;Toyota summer promo;3000.00;;Open
N-0000000457-99999;Vehicle purchase (incoming invoice);Purchase price;;-40000.00;Closed
N-0000000457-99999;Vehicle purchase (incoming invoice);Transport costs;;-500.00;Closed
N-0000000457-99999;Internal costs & Services;Accessories montage (internal invoice);;-1000.00;Closed
N-0000000457-99999;Internal costs & Services;Vehicle maintenance (internal invoice);;-300.00;Closed
N-0000000457-99999;Internal costs & Services;Small repairs (work order [OPEN]);;-400.00;Open
N-0000000457-99999;Internal costs & Services;Battery charge (internal invoice);;-300.00;Closed
N-0000000457-99999;Internal costs & Services;Vehicle washing (internal invoice);;-200.00;Closed
N-0000000457-99999;Bonuses & Promotions;Toyota Bonus (manual);2000.00;;Open
